"rowNo","type","stim1","stimFormat","ITI","key","keyboard","random","head","body","responseType","responseOptions","pageBreak","fixation","subjectGroup","cursor","required","identity condition","Time","time_block","ITI_ms","ITI_f","ITI_fDuration","timestamp","response","RT","correct","responseCode","browser","version","screenWidth","screenHeight","OS","OS_lang","GMT_timestamp","local_timestamp","trial_file_version","link","calibration","id","age","gender","ethnicity","duration_s"
"7","test","C2_053_DV_053_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","641956","l","8925","0",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"35","test","C2_038_DV_081_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","645765","l","3008","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"49","test","C2_288_DV_255_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","647964","l","1403","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"4","test","DV_002_C2_002_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","651405","s","2642","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"18","test","C2_040_DV_040_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","657413","s","5214","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"61","test","DV_237_C2_297_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","660101","l","1895","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"57","test","C2_051_DV_238_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","662573","l","1681","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"32","test","C2_140_DV_140_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","669908","s","6547","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"42","test","DV_020_C2_090_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","680133","l","9433","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"14","test","C2_142_DV_142_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","684309","s","3381","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
